player_id,season,dWAR,total_WAR
abadfe01,2023,0.0,0.08
abbotan01,2023,0.0,2.74
abbotan01,2024,0.0,3.3
abbotan01,2025,0.0,5.52
abbotan01,2026,0.0,0.73
abbotco01,2023,0.0,-0.46
abelmi01,2025,0.0,-0.16999999999999998
abelmi01,2026,0.0,0.44
abnerph01,2025,0.0,0.01
abnerph01,2026,0.0,-0.03
abramcj01,2023,1.25,3.45
abramcj01,2024,0.94,3.33
abramcj01,2025,0.22,3.43
abramcj01,2026,-0.24,1.66
abreual01,2023,0.0,-0.24
abreubr01,2023,0.0,2.52
abreubr01,2024,0.0,1.76
abreubr01,2025,0.0,2.58
abreubr01,2026,0.0,-0.46
abreujo02,2023,-0.92,-0.09
abreujo02,2024,-0.37,-1.7
abreuwi02,2023,0.07,0.67
abreuwi02,2024,1.31,3.59
abreuwi02,2025,1.25,3.21
abreuwi02,2026,0.82,2.16
acevedo01,2023,0.0,-0.65
acostma02,2025,-0.13,-0.04
actonga01,2023,0.0,-0.39
actonga01,2025,0.0,0.04
actonga01,2026,0.0,-0.05
acunajo01,2024,0.16,0.52
acunajo01,2025,0.62,0.56
acunajo01,2026,0.05,-0.56
acunaro01,2023,-0.71,8.4
acunaro01,2024,-0.87,0.02
acunaro01,2025,-1.58,2.97
acunaro01,2026,-0.03,0.66
adamewi01,2023,1.65,2.91
adamewi01,2024,-0.65,3.21
adamewi01,2025,0.74,3.73
adamewi01,2026,0.4,0.7
adamja01,2023,0.0,0.72
adamja01,2024,0.0,2.59
adamja01,2025,0.0,2.33
adamja01,2026,0.0,0.84
adamsau02,2023,0.0,-0.21
adamsau02,2024,0.0,0.52
adamsjo03,2023,-0.12,-0.71
adamsjo03,2024,-0.22,-0.17
adamsjo03,2025,0.0,-0.11
adamsri03,2023,0.36,1.07
adamsri03,2024,0.16,0.16
adamsri03,2025,0.83,0.36
adamstr01,2025,0.0,-0.84
adamstr01,2026,0.0,0.01
adcocty01,2023,0.0,0.03
adcocty01,2024,0.0,-0.38
adcocty01,2025,0.0,0.04
adelljo01,2023,0.28,0.34
adelljo01,2024,0.17,0.79
adelljo01,2025,-1.42,1.19
adelljo01,2026,-0.28,-0.05
adonjo01,2023,0.0,-0.33
adonjo01,2024,0.0,-0.14
adriaeh01,2023,-0.08,-0.3
adriaeh01,2024,0.13,0.08
agnosza01,2025,0.0,-0.39
agnosza01,2026,0.0,-0.06
aguiaju01,2024,0.0,-0.13
aguilje01,2023,-0.5,-0.6
ahmedni01,2023,0.3,-0.26
ahmedni01,2024,0.27999999999999997,-0.37
ahmedni01,2025,0.13,0.05
akinke01,2023,0.0,-0.81
akinke01,2024,0.0,1.16
akinke01,2025,0.0,0.97
akinke01,2026,0.0,-0.6
alberha01,2023,0.17,0.15000000000000002
albieoz01,2023,0.59,4.96
albieoz01,2024,0.47,1.64
albieoz01,2025,0.21,2.1
albieoz01,2026,0.69,1.7
alcaljo01,2023,0.0,-0.3
alcaljo01,2024,0.0,1.39
alcaljo01,2025,0.0,-1.06
alcanke01,2024,-0.01,-0.15
alcanke01,2025,-0.02,0.07
alcansa01,2023,0.0,3.88
alcansa01,2025,0.0,0.15
alcansa01,2026,0.0,1.2
alcanse01,2025,0.01,-0.08
aldegsa01,2024,0.0,-0.34
aldegsa01,2025,0.0,-0.49
aldegsa01,2026,0.0,0.01
alemafr01,2026,0.0,0.03
alexabl01,2024,-0.37,0.02
alexabl01,2025,0.88,1.65
